family,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18,order_19,order_20,order_21,order_22,order_23,order_24,order_25,order_26,order_27,order_28,order_29,order_30,order_31,order_32,order_33,order_34,order_35,order_36,order_37,order_38,order_39
1,276,319,131,308,292,249,97,87,106,61,39,139,302,63,,,,,,,,,,,,,,,,,,,,,,,,,
2,25,67,280,169,214,205,255,135,210,180,152,151,177,236,314,312,285,31,74,19,76,191,320,34,322,282,114,17,132,,,,,,,,,,
2,240,85,134,301,190,323,184,128,216,283,290,261,286,291,179,102,260,158,269,226,52,81,93,147,123,267,208,50,288,,,,,,,,,,
2,18,2,14,105,53,293,231,321,225,6,192,78,263,20,142,235,265,133,218,140,166,89,42,198,45,27,121,83,,,,,,,,,,,
2,30,126,129,203,115,224,251,228,304,69,213,186,4,8,195,75,246,185,305,318,98,57,227,104,247,37,187,,,,,,,,,,,,
2,16,21,287,92,156,279,5,94,60,64,154,44,12,271,141,146,200,55,1,90,315,160,242,33,258,215,,,,,,,,,,,,,
3,3,238,88,233,72,217,66,310,207,254,70,73,159,170,311,274,266,82,149,239,189,145,99,43,264,13,163,168,71,275,172,26,316,209,143,,,,
3,138,59,245,125,211,253,54,256,193,262,32,15,48,136,234,7,199,38,277,197,298,65,220,23,35,257,176,250,182,223,155,112,296,273,58,80,306,157,117
3,62,196,307,148,309,24,113,167,124,268,49,206,300,244,56,212,221,101,230,11,204,281,289,22,84,120,96,297,36,175,229,10,,,,,,,
2,294,41,259,40,248,219,317,103,194,29,165,313,47,46,,,,,,,,,,,,,,,,,,,,,,,,,
3,162,108,222,107,188,295,110,278,270,28,171,243,164,237,86,116,119,91,178,144,9,183,241,79,252,150,122,95,303,111,272,100,173,,,,,,
1,299,118,127,174,232,51,161,68,153,284,130,202,137,77,201,,,,,,,,,,,,,,,,,,,,,,,,
2,109,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
