family,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18,order_19,order_20,order_21,order_22,order_23,order_24,order_25,order_26,order_27,order_28,order_29,order_30,order_31,order_32,order_33,order_34,order_35,order_36,order_37,order_38,order_39,order_40
2,266,167,381,287,191,295,319,24,58,292,142,77,249,34,87,402,161,390,219,171,221,141,148,307,,,,,,,,,,,,,,,,
2,197,220,242,172,70,357,6,264,389,39,263,178,228,261,119,149,168,396,73,347,361,275,371,237,,,,,,,,,,,,,,,,
2,281,238,72,88,107,254,250,189,274,82,184,367,214,83,205,135,213,288,139,180,151,372,314,369,285,239,29,393,294,137,19,272,113,215,394,,,,,
2,30,311,329,265,20,98,399,333,302,31,386,324,176,17,179,102,370,278,158,208,10,33,181,50,388,,,,,,,,,,,,,,,
2,363,140,233,75,198,345,93,366,192,240,78,351,271,352,353,146,218,343,49,186,61,305,230,277,398,340,,,,,,,,,,,,,,
2,355,268,125,350,3,5,382,309,301,358,92,155,206,315,40,284,64,9,11,204,12,304,289,321,225,7,298,210,300,,,,,,,,,,,
3,110,276,199,28,156,341,132,66,344,354,310,217,349,256,282,286,283,159,280,405,129,51,143,52,200,236,356,16,328,334,145,26,260,63,322,253,104,346,112,
3,57,131,234,342,229,339,14,114,177,56,211,54,323,136,71,60,55,99,312,291,247,185,163,43,74,270,376,35,187,21,134,241,90,1,160,279,373,13,120,257
2,380,18,175,336,96,293,4,397,59,224,251,115,378,94,22,216,81,27,212,383,255,403,244,133,202,207,379,106,164,258,53,243,62,121,,,,,,
3,130,267,85,48,246,86,195,308,103,76,97,153,144,227,38,183,65,23,313,400,209,79,170,42,109,67,124,182,327,95,,,,,,,,,,
2,2,368,297,105,337,68,387,8,235,69,37,45,123,101,128,231,15,296,245,374,80,332,306,117,157,,,,,,,,,,,,,,,
3,395,32,188,401,262,196,91,193,166,44,190,391,360,100,364,303,126,359,138,152,330,252,150,147,404,335,325,47,362,46,,,,,,,,,,
2,317,406,41,165,194,127,116,108,162,173,232,377,203,25,84,273,154,223,89,385,392,338,326,122,,,,,,,,,,,,,,,,
1,226,348,174,407,259,169,331,111,248,222,365,118,299,320,201,290,375,316,,,,,,,,,,,,,,,,,,,,,,
2,384,269,36,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
