family,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18,order_19,order_20,order_21,order_22,order_23,order_24,order_25,order_26,order_27,order_28,order_29,order_30,order_31,order_32,order_33,order_34,order_35,order_36,order_37,order_38,order_39,order_40,order_41,order_42,order_43
2,356,21,97,24,295,474,309,420,292,45,249,75,87,106,379,17,380,415,390,171,138,36,464,147,,,,,,,,,,,,,,,,,,,
2,125,28,234,341,132,345,207,451,139,59,164,457,86,418,228,130,261,119,308,179,208,20,70,153,,,,,,,,,,,,,,,,,,,
3,440,259,98,254,156,211,287,322,177,11,214,83,424,62,484,279,180,367,318,31,298,302,67,314,372,151,399,135,408,463,416,290,149,336,485,113,435,,,,,,
3,131,74,155,265,189,334,493,221,56,397,285,479,333,313,468,324,436,176,362,357,450,393,280,430,477,419,241,181,200,10,270,,,,,,,,,,,,
3,368,293,432,114,422,192,240,78,167,351,258,60,50,250,466,52,33,448,104,185,388,301,417,305,53,148,141,347,343,275,371,237,13,219,,,,,,,,,
3,297,454,150,203,115,7,266,458,247,400,394,441,92,16,206,248,315,386,385,202,439,39,89,365,421,352,44,29,495,361,300,481,276,467,428,,,,,,,,
3,182,327,332,238,15,402,233,310,217,256,128,329,363,453,159,311,473,158,447,340,205,354,124,488,226,100,82,168,396,48,145,55,99,423,274,294,129,337,26,209,462,216,378
2,58,437,246,344,443,312,325,382,492,49,46,370,102,405,369,236,51,163,406,342,166,449,43,482,260,229,73,359,267,105,455,429,30,121,,,,,,,,,
3,161,140,142,19,61,199,22,283,358,319,14,184,381,323,54,144,253,154,273,444,42,191,109,470,459,112,235,438,442,374,210,245,392,32,469,296,215,,,,,,
3,162,218,366,478,264,64,278,94,204,403,350,3,389,5,288,284,244,338,282,212,383,123,101,63,434,446,483,269,272,360,465,96,452,330,349,9,66,27,307,,,,
2,364,174,286,335,172,133,195,137,136,103,38,178,277,230,227,398,183,263,110,376,413,134,490,90,1,160,411,373,76,,,,,,,,,,,,,,
3,175,412,224,213,472,289,12,271,321,225,69,281,407,346,6,387,8,186,431,146,251,68,252,410,126,427,85,353,257,40,120,460,476,122,,,,,,,,,
3,391,143,480,188,81,401,41,23,487,65,197,220,35,107,489,196,377,461,71,34,170,339,173,255,,,,,,,,,,,,,,,,,,,
2,2,414,18,456,108,426,303,232,79,404,242,187,127,25,84,93,80,326,304,491,348,47,475,,,,,,,,,,,,,,,,,,,,
2,194,395,116,91,57,193,262,239,223,37,72,88,190,486,165,4,317,299,118,425,95,,,,,,,,,,,,,,,,,,,,,,
1,433,243,471,169,331,111,152,409,222,355,496,445,328,320,77,201,198,316,375,,,,,,,,,,,,,,,,,,,,,,,,
2,231,384,306,494,291,268,157,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
